year,noc,athletes
2016,COD,4
2016,COK,9
2016,COL,143
2016,COM,4
2016,CPV,5
2016,CRC,11
2016,CRO,85
2016,CUB,117
2016,CYP,15
2016,CZE,104
2016,DEN,119
2016,DJI,7
2016,DMA,2
2016,DOM,26
2016,ECU,37
2016,EGY,121
2016,ERI,12
2016,ESA,8
2016,ESP,307
2016,EST,46
2016,ETH,37
2016,FIJ,53
2016,FIN,54
2016,FRA,392
2016,FSM,5
2016,GAB,6
2016,GAM,4
2016,GBR,360
2016,GBS,5
2016,GEO,40
2016,GEQ,1
2016,GER,418
2016,GHA,13
2016,GRE,92
2016,GRN,6
2016,GUA,21
2016,GUI,5
2016,GUM,5
2016,GUY,6
2016,HAI,10
2016,HKG,37
2016,HON,23
2016,HUN,154
2016,INA,28
2016,IND,112
2016,IOA,9
2016,IRI,63
2016,IRL,76
2016,IRQ,20
2016,ISL,8
2016,ISR,47
2016,ISV,7
2016,ITA,309
2016,IVB,4
2016,JAM,56
2016,JOR,8
2016,JPN,335
2016,KAZ,101
2016,KEN,79
2016,KGZ,19
2016,KIR,3
2016,KOR,207
2016,KOS,8
2016,KSA,10
2016,LAO,5
2016,LAT,32
2016,LBA,7
2016,LBR,2
2016,LCA,5
2016,LES,8
2016,LIB,9
2016,LIE,3
2016,LTU,67
2016,LUX,10
2016,MAD,6
2016,MAR,48
2016,MAS,32
2016,MAW,5
2016,MDA,23
2016,MDV,4
2016,MEX,123
2016,MGL,43
2016,MHL,5
2016,MKD,6
2016,MLI,6
2016,MLT,7
2016,MNE,35
2016,MON,3
2016,MOZ,6
2016,MRI,11
2016,MTN,2
2016,MYA,7
2016,NAM,10
2016,NCA,5
2016,NED,237
2016,NEP,7
2016,NGR,71
2016,NIG,6
2016,NOR,62
2016,NRU,2
2016,NZL,195
2016,OMA,4
2016,PAK,7
2016,PAN,10
2016,PAR,11
2016,PER,29
2016,PHI,13
2016,PLE,6
2016,PLW,5
2016,PNG,8
2016,POL,234
2016,POR,90
2016,PRK,31
2016,PUR,40
2016,QAT,37
2016,ROT,10
2016,ROU,95
2016,RSA,135
2016,RUS,284
2016,RWA,7
2016,SAM,8
2016,SEN,22
2016,SEY,10
2016,SGP,25
2016,SKN,6
2016,SLE,4
2016,SLO,63
2016,SMR,4
2016,SOL,3
2016,SOM,2
2016,SRB,103
2016,SRI,9
2016,SSD,3
2016,STP,3
2016,SUD,6
2016,SUI,102
2016,SUR,6
2016,SVK,51
2016,SWE,150
2016,SWZ,2
2016,SYR,7
2016,TAN,7
2016,TGA,7
2016,THA,54
2016,TJK,7
2016,TKM,9
2016,TLS,3
2016,TOG,5
2016,TPE,55
2016,TTO,28
2016,TUN,61
2016,TUR,100
2016,TUV,1
2016,UAE,12
2016,UGA,21
2016,UKR,204
2016,URU,17
2016,USA,555
2016,UZB,70
2016,VAN,4
2016,VEN,85
2016,VIE,22
2016,VIN,4
2016,YEM,3
2016,ZAM,7
2016,ZIM,30
