year,noc,athletes
1992,ETH,20
1992,EUN,604
1992,FIJ,18
1992,FIN,150
1992,FRA,448
1992,GAB,5
1992,GAM,5
1992,GBR,420
1992,GEQ,7
1992,GER,574
1992,GHA,34
1992,GRE,78
1992,GRN,4
1992,GUA,14
1992,GUI,8
1992,GUM,22
1992,GUY,6
1992,HAI,7
1992,HKG,38
1992,HON,11
1992,HUN,241
1992,INA,42
1992,IND,54
1992,IOA,58
1992,IRI,36
1992,IRL,61
1992,IRQ,8
1992,ISL,32
1992,ISR,30
1992,ISV,37
1992,ITA,411
1992,IVB,4
1992,JAM,41
1992,JOR,4
1992,JPN,315
1992,KEN,49
1992,KOR,249
1992,KSA,9
1992,KUW,32
1992,LAO,6
1992,LAT,57
1992,LBA,5
1992,LES,6
1992,LIB,16
1992,LIE,14
1992,LTU,53
1992,LUX,7
1992,MAD,13
1992,MAR,56
1992,MAS,26
1992,MAW,4
1992,MDV,7
1992,MEX,122
1992,MGL,37
1992,MLI,5
1992,MLT,6
1992,MON,7
1992,MOZ,6
1992,MRI,13
1992,MTN,6
1992,MYA,4
1992,NAM,6
1992,NCA,8
1992,NED,220
1992,NEP,2
1992,NGR,55
1992,NIG,3
1992,NOR,162
